  0.120002D+03  0.215598D+00  0.679701D-01
  0.120057D+03  0.217124D+00  0.684635D-01
  0.120111D+03  0.218666D+00  0.689624D-01
  0.120165D+03  0.220226D+00  0.694668D-01
  0.120220D+03  0.221803D+00  0.699769D-01
  0.120274D+03  0.223398D+00  0.704927D-01
  0.120328D+03  0.225010D+00  0.710143D-01
  0.120383D+03  0.226641D+00  0.715419D-01
  0.120437D+03  0.228290D+00  0.720754D-01
  0.120492D+03  0.229957D+00  0.726150D-01
  0.120546D+03  0.231644D+00  0.731608D-01
  0.120600D+03  0.233350D+00  0.737129D-01
  0.120655D+03  0.235075D+00  0.742713D-01
  0.120709D+03  0.236820D+00  0.748362D-01
  0.120763D+03  0.238585D+00  0.754077D-01
  0.120818D+03  0.240371D+00  0.759859D-01
  0.120872D+03  0.242178D+00  0.765708D-01
  0.120926D+03  0.244006D+00  0.771627D-01
  0.120981D+03  0.245855D+00  0.777615D-01
  0.121035D+03  0.247726D+00  0.783675D-01
  0.121089D+03  0.249619D+00  0.789806D-01
  0.121144D+03  0.251534D+00  0.796011D-01
  0.121198D+03  0.253472D+00  0.802291D-01
  0.121252D+03  0.255434D+00  0.808646D-01
  0.121307D+03  0.257419D+00  0.815079D-01
  0.121361D+03  0.259428D+00  0.821589D-01
  0.121415D+03  0.261462D+00  0.828179D-01
  0.121470D+03  0.263520D+00  0.834850D-01
  0.121524D+03  0.265603D+00  0.841603D-01
  0.121578D+03  0.267712D+00  0.848440D-01
  0.121633D+03  0.269847D+00  0.855362D-01
  0.121687D+03  0.272008D+00  0.862369D-01
  0.121742D+03  0.274197D+00  0.869465D-01
  0.121796D+03  0.276412D+00  0.876650D-01
  0.121850D+03  0.278655D+00  0.883925D-01
  0.121905D+03  0.280927D+00  0.891293D-01
  0.121959D+03  0.283227D+00  0.898755D-01
  0.122013D+03  0.285557D+00  0.906312D-01
  0.122068D+03  0.287916D+00  0.913966D-01
  0.122122D+03  0.290305D+00  0.921719D-01
  0.122176D+03  0.292726D+00  0.929573D-01
  0.122231D+03  0.295177D+00  0.937529D-01
  0.122285D+03  0.297661D+00  0.945588D-01
  0.122339D+03  0.300176D+00  0.953754D-01
  0.122394D+03  0.302725D+00  0.962028D-01
  0.122448D+03  0.305307D+00  0.970411D-01
  0.122502D+03  0.307923D+00  0.978905D-01
  0.122557D+03  0.310574D+00  0.987513D-01
  0.122611D+03  0.313261D+00  0.996237D-01
  0.122665D+03  0.315983D+00  0.100508D+00
  0.122720D+03  0.318742D+00  0.101404D+00
  0.122774D+03  0.321539D+00  0.102312D+00
  0.122829D+03  0.324373D+00  0.103233D+00
  0.122883D+03  0.327246D+00  0.104166D+00
  0.122937D+03  0.330158D+00  0.105113D+00
  0.122992D+03  0.333111D+00  0.106072D+00
  0.123046D+03  0.336104D+00  0.107045D+00
  0.123100D+03  0.339139D+00  0.108031D+00
  0.123155D+03  0.342217D+00  0.109032D+00
  0.123209D+03  0.345337D+00  0.110046D+00
  0.123263D+03  0.348502D+00  0.111075D+00
  0.123318D+03  0.351711D+00  0.112118D+00
  0.123372D+03  0.354966D+00  0.113177D+00
  0.123426D+03  0.358268D+00  0.114250D+00
  0.123481D+03  0.361617D+00  0.115339D+00
  0.123535D+03  0.365015D+00  0.116444D+00
  0.123589D+03  0.368462D+00  0.117566D+00
  0.123644D+03  0.371959D+00  0.118703D+00
  0.123698D+03  0.375507D+00  0.119858D+00
  0.123752D+03  0.379108D+00  0.121029D+00
  0.123807D+03  0.382762D+00  0.122218D+00
  0.123861D+03  0.386470D+00  0.123425D+00
  0.123915D+03  0.390234D+00  0.124650D+00
  0.123970D+03  0.394055D+00  0.125893D+00
  0.124024D+03  0.397933D+00  0.127156D+00
  0.124079D+03  0.401870D+00  0.128437D+00
  0.124133D+03  0.405867D+00  0.129739D+00
  0.124187D+03  0.409926D+00  0.131060D+00
  0.124242D+03  0.414047D+00  0.132402D+00
  0.124296D+03  0.418231D+00  0.133765D+00
  0.124350D+03  0.422482D+00  0.135149D+00
  0.124405D+03  0.426798D+00  0.136555D+00
  0.124459D+03  0.431183D+00  0.137984D+00
  0.124513D+03  0.435637D+00  0.139435D+00
  0.124568D+03  0.440162D+00  0.140909D+00
  0.124622D+03  0.444759D+00  0.142407D+00
  0.124676D+03  0.449430D+00  0.143929D+00
  0.124731D+03  0.454177D+00  0.145476D+00
  0.124785D+03  0.459001D+00  0.147048D+00
  0.124839D+03  0.463904D+00  0.148646D+00
  0.124894D+03  0.468887D+00  0.150271D+00
  0.124948D+03  0.473953D+00  0.151923D+00
  0.125002D+03  0.479103D+00  0.153602D+00
  0.125057D+03  0.484339D+00  0.155309D+00
  0.125111D+03  0.489663D+00  0.157045D+00
  0.125166D+03  0.495077D+00  0.158811D+00
  0.125220D+03  0.500582D+00  0.160607D+00
  0.125274D+03  0.506182D+00  0.162434D+00
  0.125329D+03  0.511878D+00  0.164292D+00
  0.125383D+03  0.517673D+00  0.166182D+00
  0.125437D+03  0.523568D+00  0.168106D+00
  0.125492D+03  0.529567D+00  0.170063D+00
  0.125546D+03  0.535670D+00  0.172055D+00
  0.125600D+03  0.541882D+00  0.174083D+00
  0.125655D+03  0.548204D+00  0.176147D+00
  0.125709D+03  0.554640D+00  0.178247D+00
  0.125763D+03  0.561191D+00  0.180386D+00
  0.125818D+03  0.567861D+00  0.182564D+00
  0.125872D+03  0.574652D+00  0.184782D+00
  0.125926D+03  0.581567D+00  0.187040D+00
  0.125981D+03  0.588611D+00  0.189340D+00
  0.126035D+03  0.595784D+00  0.191684D+00
  0.126089D+03  0.603092D+00  0.194071D+00
  0.126144D+03  0.610537D+00  0.196503D+00
  0.126198D+03  0.618122D+00  0.198981D+00
  0.126252D+03  0.625852D+00  0.201507D+00
  0.126307D+03  0.633729D+00  0.204081D+00
  0.126361D+03  0.641758D+00  0.206705D+00
  0.126416D+03  0.649942D+00  0.209380D+00
  0.126470D+03  0.658286D+00  0.212108D+00
  0.126524D+03  0.666793D+00  0.214889D+00
  0.126579D+03  0.675469D+00  0.217725D+00
  0.126633D+03  0.684316D+00  0.220618D+00
  0.126687D+03  0.693341D+00  0.223569D+00
  0.126742D+03  0.702547D+00  0.226580D+00
  0.126796D+03  0.711939D+00  0.229652D+00
  0.126850D+03  0.721523D+00  0.232786D+00
  0.126905D+03  0.731303D+00  0.235986D+00
  0.126959D+03  0.741286D+00  0.239252D+00
  0.127013D+03  0.751476D+00  0.242586D+00
  0.127068D+03  0.761879D+00  0.245990D+00
  0.127122D+03  0.772502D+00  0.249466D+00
  0.127176D+03  0.783350D+00  0.253017D+00
  0.127231D+03  0.794429D+00  0.256643D+00
  0.127285D+03  0.805747D+00  0.260348D+00
  0.127339D+03  0.817309D+00  0.264133D+00
