  0.120002D+03  0.930912D-02  0.000000D+00  0.930912D-02  0.413897D-02
  0.120057D+03  0.938153D-02  0.000000D+00  0.938153D-02  0.418169D-02
  0.120111D+03  0.945477D-02  0.000000D+00  0.945477D-02  0.422499D-02
  0.120165D+03  0.952884D-02 -0.433681D-18  0.952884D-02  0.426887D-02
  0.120220D+03  0.960376D-02  0.000000D+00  0.960376D-02  0.431335D-02
  0.120274D+03  0.967954D-02  0.000000D+00  0.967954D-02  0.435843D-02
  0.120328D+03  0.975619D-02 -0.867362D-18  0.975619D-02  0.440413D-02
  0.120383D+03  0.983374D-02  0.000000D+00  0.983374D-02  0.445046D-02
  0.120437D+03  0.991218D-02  0.867362D-18  0.991218D-02  0.449742D-02
  0.120492D+03  0.999153D-02  0.433681D-18  0.999153D-02  0.454503D-02
  0.120546D+03  0.100718D-01 -0.867362D-18  0.100718D-01  0.459331D-02
  0.120600D+03  0.101531D-01 -0.130104D-17  0.101531D-01  0.464225D-02
  0.120655D+03  0.102352D-01  0.000000D+00  0.102352D-01  0.469187D-02
  0.120709D+03  0.103184D-01  0.000000D+00  0.103184D-01  0.474219D-02
  0.120763D+03  0.104025D-01  0.867362D-18  0.104025D-01  0.479322D-02
  0.120818D+03  0.104877D-01  0.000000D+00  0.104877D-01  0.484496D-02
  0.120872D+03  0.105739D-01 -0.433681D-18  0.105739D-01  0.489743D-02
  0.120926D+03  0.106611D-01  0.130104D-17  0.106611D-01  0.495065D-02
  0.120981D+03  0.107493D-01  0.433681D-18  0.107493D-01  0.500463D-02
  0.121035D+03  0.108386D-01  0.433681D-18  0.108386D-01  0.505938D-02
  0.121089D+03  0.109291D-01  0.433681D-18  0.109291D-01  0.511491D-02
  0.121144D+03  0.110206D-01  0.000000D+00  0.110206D-01  0.517124D-02
  0.121198D+03  0.111132D-01  0.867362D-18  0.111132D-01  0.522839D-02
  0.121252D+03  0.112070D-01  0.000000D+00  0.112070D-01  0.528636D-02
  0.121307D+03  0.113019D-01 -0.433681D-18  0.113019D-01  0.534517D-02
  0.121361D+03  0.113980D-01 -0.433681D-18  0.113980D-01  0.540484D-02
  0.121415D+03  0.114953D-01  0.000000D+00  0.114953D-01  0.546539D-02
  0.121470D+03  0.115938D-01  0.000000D+00  0.115938D-01  0.552683D-02
  0.121524D+03  0.116936D-01  0.000000D+00  0.116936D-01  0.558917D-02
  0.121578D+03  0.117946D-01  0.000000D+00  0.117946D-01  0.565243D-02
  0.121633D+03  0.118969D-01 -0.867362D-18  0.118969D-01  0.571663D-02
  0.121687D+03  0.120005D-01  0.000000D+00  0.120005D-01  0.578180D-02
  0.121742D+03  0.121054D-01  0.000000D+00  0.121054D-01  0.584793D-02
  0.121796D+03  0.122116D-01 -0.867362D-18  0.122116D-01  0.591506D-02
  0.121850D+03  0.123192D-01  0.000000D+00  0.123192D-01  0.598320D-02
  0.121905D+03  0.124282D-01  0.000000D+00  0.124282D-01  0.605237D-02
  0.121959D+03  0.125386D-01  0.000000D+00  0.125386D-01  0.612259D-02
  0.122013D+03  0.126504D-01  0.000000D+00  0.126504D-01  0.619388D-02
  0.122068D+03  0.127637D-01  0.867362D-18  0.127637D-01  0.626627D-02
  0.122122D+03  0.128785D-01  0.000000D+00  0.128785D-01  0.633976D-02
  0.122176D+03  0.129948D-01  0.867362D-18  0.129948D-01  0.641439D-02
  0.122231D+03  0.131126D-01  0.867362D-18  0.131126D-01  0.649017D-02
  0.122285D+03  0.132320D-01  0.000000D+00  0.132320D-01  0.656713D-02
  0.122339D+03  0.133530D-01  0.867362D-18  0.133530D-01  0.664529D-02
  0.122394D+03  0.134756D-01  0.433681D-18  0.134756D-01  0.672468D-02
  0.122448D+03  0.135999D-01 -0.867362D-18  0.135999D-01  0.680531D-02
  0.122502D+03  0.137258D-01  0.000000D+00  0.137258D-01  0.688721D-02
  0.122557D+03  0.138535D-01  0.000000D+00  0.138535D-01  0.697041D-02
  0.122611D+03  0.139828D-01  0.000000D+00  0.139828D-01  0.705494D-02
  0.122665D+03  0.141140D-01  0.130104D-17  0.141140D-01  0.714081D-02
  0.122720D+03  0.142469D-01  0.867362D-18  0.142469D-01  0.722806D-02
  0.122774D+03  0.143817D-01 -0.867362D-18  0.143817D-01  0.731671D-02
  0.122829D+03  0.145184D-01  0.000000D+00  0.145184D-01  0.740680D-02
  0.122883D+03  0.146569D-01  0.867362D-18  0.146569D-01  0.749834D-02
  0.122937D+03  0.147974D-01  0.000000D+00  0.147974D-01  0.759138D-02
  0.122992D+03  0.149398D-01  0.433681D-18  0.149398D-01  0.768594D-02
  0.123046D+03  0.150843D-01 -0.867362D-18  0.150843D-01  0.778205D-02
  0.123100D+03  0.152308D-01  0.000000D+00  0.152308D-01  0.787975D-02
  0.123155D+03  0.153794D-01  0.867362D-18  0.153794D-01  0.797906D-02
  0.123209D+03  0.155301D-01  0.000000D+00  0.155301D-01  0.808002D-02
  0.123263D+03  0.156830D-01  0.000000D+00  0.156830D-01  0.818267D-02
  0.123318D+03  0.158381D-01  0.000000D+00  0.158381D-01  0.828704D-02
  0.123372D+03  0.159954D-01  0.000000D+00  0.159954D-01  0.839316D-02
  0.123426D+03  0.161550D-01  0.173472D-17  0.161550D-01  0.850109D-02
  0.123481D+03  0.163170D-01  0.867362D-18  0.163170D-01  0.861084D-02
  0.123535D+03  0.164813D-01  0.173472D-17  0.164813D-01  0.872246D-02
  0.123589D+03  0.166481D-01  0.000000D+00  0.166481D-01  0.883599D-02
  0.123644D+03  0.168173D-01  0.000000D+00  0.168173D-01  0.895147D-02
  0.123698D+03  0.169891D-01 -0.867362D-18  0.169891D-01  0.906895D-02
  0.123752D+03  0.171634D-01 -0.867362D-18  0.171634D-01  0.918847D-02
  0.123807D+03  0.173403D-01  0.000000D+00  0.173403D-01  0.931006D-02
  0.123861D+03  0.175200D-01  0.000000D+00  0.175200D-01  0.943379D-02
  0.123915D+03  0.177023D-01  0.000000D+00  0.177023D-01  0.955969D-02
  0.123970D+03  0.178874D-01  0.000000D+00  0.178874D-01  0.968781D-02
  0.124024D+03  0.180754D-01  0.000000D+00  0.180754D-01  0.981820D-02
  0.124079D+03  0.182663D-01  0.000000D+00  0.182663D-01  0.995091D-02
  0.124133D+03  0.184601D-01 -0.867362D-18  0.184601D-01  0.100860D-01
  0.124187D+03  0.186569D-01 -0.867362D-18  0.186569D-01  0.102235D-01
  0.124242D+03  0.188568D-01 -0.867362D-18  0.188568D-01  0.103635D-01
  0.124296D+03  0.190599D-01 -0.173472D-17  0.190599D-01  0.105060D-01
  0.124350D+03  0.192661D-01  0.867362D-18  0.192661D-01  0.106512D-01
  0.124405D+03  0.194756D-01  0.000000D+00  0.194756D-01  0.107989D-01
  0.124459D+03  0.196885D-01  0.000000D+00  0.196885D-01  0.109494D-01
  0.124513D+03  0.199048D-01  0.173472D-17  0.199048D-01  0.111027D-01
  0.124568D+03  0.201245D-01  0.000000D+00  0.201245D-01  0.112588D-01
  0.124622D+03  0.203478D-01  0.000000D+00  0.203478D-01  0.114179D-01
  0.124676D+03  0.205748D-01 -0.867362D-18  0.205748D-01  0.115799D-01
  0.124731D+03  0.208055D-01  0.000000D+00  0.208055D-01  0.117449D-01
  0.124785D+03  0.210399D-01  0.000000D+00  0.210399D-01  0.119131D-01
  0.124839D+03  0.212783D-01 -0.867362D-18  0.212783D-01  0.120845D-01
  0.124894D+03  0.215205D-01  0.000000D+00  0.215205D-01  0.122591D-01
  0.124948D+03  0.217669D-01  0.173472D-17  0.217669D-01  0.124371D-01
