 omega S_XX S_heterodyne S_homodyne
 -2.563814654218722E+05  5.589787754743327E-07  5.589794132672012E-07 -3.462374352680798E-07
 -2.563301891287878E+05  5.593822687732180E-07  5.593814504932503E-07 -3.462933242728842E-07
 -2.562789128357035E+05  5.597862545466530E-07  5.597853221238792E-07 -3.463484729439083E-07
 -2.562276365426191E+05  5.601906372655152E-07  5.601914439486208E-07 -3.464019463202542E-07
 -2.561763602495347E+05  5.605955112580470E-07  5.605961862368792E-07 -3.464570785172009E-07
 -2.561250839564503E+05  5.610007880395880E-07  5.610010669561717E-07 -3.465122002676426E-07
 -2.560738076633660E+05  5.614065628781905E-07  5.614064392198188E-07 -3.465674311873253E-07
 -2.560225313702816E+05  5.618128276784694E-07  5.618120357114066E-07 -3.466221702027171E-07
 -2.559712550771972E+05  5.622194034239307E-07  5.622195507156289E-07 -3.466761858778382E-07
 -2.559199787841128E+05  5.626265656588216E-07  5.626260341777032E-07 -3.467308602424003E-07
 -2.558687024910285E+05  5.630341298084270E-07  5.630342733410111E-07 -3.467847501320704E-07
 -2.558174261979441E+05  5.634420962362381E-07  5.634412986468688E-07 -3.468395178464189E-07
 -2.557661499048597E+05  5.638505588086507E-07  5.638501780839745E-07 -3.468938124836566E-07
 -2.557148736117754E+05  5.642595159579779E-07  5.642598004152453E-07 -3.469472225624585E-07
 -2.556635973186910E+05  5.646688781836913E-07  5.646695724257490E-07 -3.470006112471116E-07
 -2.556123210256066E+05  5.650786396623664E-07  5.650794941926153E-07 -3.470548441683686E-07
 -2.555610447325222E+05  5.654889018761494E-07  5.654880474820920E-07 -3.471098533044856E-07
 -2.555097684394378E+05  5.658996561632621E-07  5.658987062717485E-07 -3.471633973500262E-07
 -2.554584921463535E+05  5.663108185832238E-07  5.663116423004682E-07 -3.472154977455769E-07
 -2.554072158532691E+05  5.667224765877353E-07  5.667232111795416E-07 -3.472692380059619E-07
 -2.553559395601848E+05  5.671345411735198E-07  5.671349371470163E-07 -3.473229489824105E-07
 -2.553046632671003E+05  5.675471072468275E-07  5.675471680983722E-07 -3.473764693609966E-07
 -2.552533869740160E+05  5.679601680175547E-07  5.679596475769463E-07 -3.474303087668998E-07
 -2.552021106809316E+05  5.683736308230424E-07  5.683744014449465E-07 -3.474824545798555E-07
 -2.551508343878473E+05  5.687875028072148E-07  5.687874497898920E-07 -3.475358106828439E-07
 -2.550995580947629E+05  5.692019700476983E-07  5.692029710587852E-07 -3.475880404429480E-07
 -2.550482818016785E+05  5.696167467412130E-07  5.696166920246083E-07 -3.476420291823676E-07
 -2.549970055085941E+05  5.700321136280806E-07  5.700328760260451E-07 -3.476938373603958E-07
 -2.549457292155097E+05  5.704478890563461E-07  5.704473624177937E-07 -3.477476574883817E-07
 -2.548944529224253E+05  5.708640769325284E-07  5.708643906622117E-07 -3.477998335661313E-07
 -2.548431766293410E+05  5.712808541919095E-07  5.712815170032494E-07 -3.478519930386658E-07
 -2.547919003362566E+05  5.716979491561856E-07  5.716971035079108E-07 -3.479053964619978E-07
 -2.547406240431722E+05  5.721156351078347E-07  5.721151652679488E-07 -3.479577027851025E-07
 -2.546893477500879E+05  5.725337323080116E-07  5.725333998605109E-07 -3.480097011341094E-07
 -2.546380714570035E+05  5.729523282779931E-07  5.729521467852114E-07 -3.480615324889935E-07
 -2.545867951639191E+05  5.733713366859257E-07  5.733713250254857E-07 -3.481139524256047E-07
 -2.545355188708348E+05  5.737908433403264E-07  5.737907645063793E-07 -3.481658475831191E-07
 -2.544842425777504E+05  5.742108546659364E-07  5.742104763132151E-07 -3.482177221994673E-07
 -2.544329662846660E+05  5.746312746197594E-07  5.746308625043111E-07 -3.482694891555509E-07
 -2.543816899915816E+05  5.750521992083228E-07  5.750512763920228E-07 -3.483217007529579E-07
 -2.543304136984972E+05  5.754735373442007E-07  5.754742388488925E-07 -3.483716982052315E-07
 -2.542791374054129E+05  5.758953703586432E-07  5.758955994360034E-07 -3.484238121218129E-07
 -2.542278611123285E+05  5.763177160253065E-07  5.763172451552689E-07 -3.484758612294732E-07
 -2.541765848192441E+05  5.767405628154760E-07  5.767412838361095E-07 -3.485262282189069E-07
 -2.541253085261597E+05  5.771638181236654E-07  5.771638770786674E-07 -3.485773508426956E-07
 -2.540740322330754E+05  5.775875818538728E-07  5.775867602369655E-07 -3.486295448687856E-07
 -2.540227559399910E+05  5.780117591957070E-07  5.780119501983916E-07 -3.486797061816042E-07
 -2.539714796469066E+05  5.784365347992854E-07  5.784358873233045E-07 -3.487309601718162E-07
 -2.539202033538223E+05  5.788617244749530E-07  5.788618940576480E-07 -3.487814661029941E-07
 -2.538689270607379E+05  5.792873212105871E-07  5.792880827883807E-07 -3.488311225600677E-07
 -2.538176507676535E+05  5.797135253588492E-07  5.797132830411343E-07 -3.488830076330621E-07
 -2.537663744745691E+05  5.801401377415024E-07  5.801405421961410E-07 -3.489328168223579E-07
 -2.537150981814848E+05  5.805671580649537E-07  5.805679954002186E-07 -3.489831341606252E-07
 -2.536638218884004E+05  5.809947917028957E-07  5.809942143048479E-07 -3.490344616962244E-07
 -2.536125455953160E+05  5.814228354876736E-07  5.814227453932185E-07 -3.490840671149922E-07
 -2.535612693022316E+05  5.818513827224767E-07  5.818515654042753E-07 -3.491336661939349E-07
 -2.535099930091472E+05  5.822803483831981E-07  5.822808354582971E-07 -3.491832868912178E-07
 -2.534587167160629E+05  5.827099145006550E-07  5.827107416539264E-07 -3.492335641240153E-07
 -2.534074404229785E+05  5.831398975601629E-07  5.831408496269804E-07 -3.492832243053224E-07
