 -0.191177D+01 -0.622197D+00 -0.395298D+11
 -0.191139D+01 -0.622108D+00 -0.395299D+11
 -0.191100D+01 -0.622019D+00 -0.395300D+11
 -0.191062D+01 -0.621930D+00 -0.395301D+11
 -0.191024D+01 -0.621840D+00 -0.395301D+11
 -0.190986D+01 -0.621751D+00 -0.395302D+11
 -0.190948D+01 -0.621661D+00 -0.395303D+11
 -0.190909D+01 -0.621571D+00 -0.395303D+11
 -0.190871D+01 -0.621482D+00 -0.395304D+11
 -0.190833D+01 -0.621392D+00 -0.395305D+11
 -0.190795D+01 -0.621302D+00 -0.395306D+11
 -0.190756D+01 -0.621212D+00 -0.395306D+11
 -0.190718D+01 -0.621121D+00 -0.395307D+11
 -0.190680D+01 -0.621031D+00 -0.395308D+11
 -0.190642D+01 -0.620941D+00 -0.395308D+11
 -0.190603D+01 -0.620850D+00 -0.395309D+11
 -0.190565D+01 -0.620759D+00 -0.395310D+11
 -0.190527D+01 -0.620669D+00 -0.395310D+11
 -0.190489D+01 -0.620578D+00 -0.395311D+11
 -0.190450D+01 -0.620487D+00 -0.395312D+11
 -0.190412D+01 -0.620396D+00 -0.395313D+11
 -0.190374D+01 -0.620305D+00 -0.395313D+11
 -0.190336D+01 -0.620214D+00 -0.395314D+11
 -0.190298D+01 -0.620122D+00 -0.395315D+11
 -0.190259D+01 -0.620031D+00 -0.395315D+11
 -0.190221D+01 -0.619939D+00 -0.395316D+11
 -0.190183D+01 -0.619848D+00 -0.395317D+11
 -0.190145D+01 -0.619756D+00 -0.395317D+11
 -0.190106D+01 -0.619664D+00 -0.395318D+11
 -0.190068D+01 -0.619572D+00 -0.395319D+11
 -0.190030D+01 -0.619480D+00 -0.395320D+11
 -0.189992D+01 -0.619388D+00 -0.395320D+11
 -0.189953D+01 -0.619296D+00 -0.395321D+11
 -0.189915D+01 -0.619203D+00 -0.395322D+11
 -0.189877D+01 -0.619111D+00 -0.395322D+11
 -0.189839D+01 -0.619018D+00 -0.395323D+11
 -0.189800D+01 -0.618926D+00 -0.395324D+11
 -0.189762D+01 -0.618833D+00 -0.395324D+11
 -0.189724D+01 -0.618740D+00 -0.395325D+11
 -0.189686D+01 -0.618647D+00 -0.395326D+11
 -0.189648D+01 -0.618554D+00 -0.395327D+11
 -0.189609D+01 -0.618461D+00 -0.395327D+11
 -0.189571D+01 -0.618368D+00 -0.395328D+11
 -0.189533D+01 -0.618274D+00 -0.395329D+11
 -0.189495D+01 -0.618181D+00 -0.395329D+11
 -0.189456D+01 -0.618087D+00 -0.395330D+11
 -0.189418D+01 -0.617993D+00 -0.395331D+11
