 -0.191177D+01  0.130952D+00
 -0.191139D+01  0.131043D+00
 -0.191100D+01  0.131133D+00
 -0.191062D+01  0.131223D+00
 -0.191024D+01  0.131314D+00
 -0.190986D+01  0.131404D+00
 -0.190948D+01  0.131495D+00
 -0.190909D+01  0.131585D+00
 -0.190871D+01  0.131676D+00
 -0.190833D+01  0.131767D+00
 -0.190795D+01  0.131858D+00
 -0.190756D+01  0.131949D+00
 -0.190718D+01  0.132041D+00
 -0.190680D+01  0.132132D+00
 -0.190642D+01  0.132223D+00
 -0.190603D+01  0.132315D+00
 -0.190565D+01  0.132406D+00
 -0.190527D+01  0.132498D+00
 -0.190489D+01  0.132590D+00
 -0.190450D+01  0.132682D+00
 -0.190412D+01  0.132774D+00
 -0.190374D+01  0.132866D+00
 -0.190336D+01  0.132958D+00
 -0.190298D+01  0.133051D+00
 -0.190259D+01  0.133143D+00
 -0.190221D+01  0.133235D+00
 -0.190183D+01  0.133328D+00
 -0.190145D+01  0.133421D+00
 -0.190106D+01  0.133514D+00
 -0.190068D+01  0.133607D+00
 -0.190030D+01  0.133700D+00
 -0.189992D+01  0.133793D+00
 -0.189953D+01  0.133886D+00
 -0.189915D+01  0.133979D+00
 -0.189877D+01  0.134073D+00
 -0.189839D+01  0.134166D+00
 -0.189800D+01  0.134260D+00
 -0.189762D+01  0.134354D+00
 -0.189724D+01  0.134448D+00
 -0.189686D+01  0.134542D+00
 -0.189648D+01  0.134636D+00
 -0.189609D+01  0.134730D+00
 -0.189571D+01  0.134824D+00
 -0.189533D+01  0.134919D+00
 -0.189495D+01  0.135013D+00
 -0.189456D+01  0.135108D+00
 -0.189418D+01  0.135202D+00
 -0.189380D+01  0.135297D+00
 -0.189342D+01  0.135392D+00
 -0.189303D+01  0.135487D+00
 -0.189265D+01  0.135582D+00
 -0.189227D+01  0.135677D+00
 -0.189189D+01  0.135773D+00
 -0.189150D+01  0.135868D+00
 -0.189112D+01  0.135964D+00
 -0.189074D+01  0.136059D+00
 -0.189036D+01  0.136155D+00
 -0.188998D+01  0.136251D+00
 -0.188959D+01  0.136347D+00
 -0.188921D+01  0.136443D+00
 -0.188883D+01  0.136539D+00
 -0.188845D+01  0.136635D+00
 -0.188806D+01  0.136732D+00
 -0.188768D+01  0.136828D+00
 -0.188730D+01  0.136925D+00
 -0.188692D+01  0.137022D+00
 -0.188653D+01  0.137118D+00
 -0.188615D+01  0.137215D+00
 -0.188577D+01  0.137312D+00
 -0.188539D+01  0.137410D+00
 -0.188500D+01  0.137507D+00
 -0.188462D+01  0.137604D+00
 -0.188424D+01  0.137702D+00
 -0.188386D+01  0.137799D+00
 -0.188348D+01  0.137897D+00
 -0.188309D+01  0.137995D+00
 -0.188271D+01  0.138093D+00
 -0.188233D+01  0.138191D+00
 -0.188195D+01  0.138289D+00
 -0.188156D+01  0.138387D+00
 -0.188118D+01  0.138485D+00
 -0.188080D+01  0.138584D+00
