 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  6.500000000000000E-02 -1.677398706047473E+00 -1.750306100618068E+00 -1.904850513133153E-01
  6.583333333333333E-02 -1.664850638092175E+00 -1.737758032662769E+00 -1.904850513133153E-01
  6.666666666666667E-02 -1.652302570136876E+00 -1.718935930729830E+00 -1.904850513133153E-01
  6.750000000000000E-02 -1.639754502181577E+00 -1.706387862774532E+00 -1.904850513133153E-01
  6.833333333333333E-02 -1.627206434226260E+00 -1.687565760841574E+00 -1.904850513133153E-01
  6.916666666666667E-02 -1.614658366270961E+00 -1.675017692886276E+00 -1.904850513133153E-01
  7.000000000000001E-02 -1.595836264338022E+00 -1.656195590953318E+00 -1.904850513133153E-01
  7.083333333333333E-02 -1.583288196382724E+00 -1.643647522998020E+00 -1.904850513133153E-01
  7.166666666666667E-02 -1.570740128427425E+00 -1.624825421065081E+00 -1.842110173356660E-01
  7.250000000000000E-02 -1.558192060472126E+00 -1.612277353109782E+00 -1.842110173356660E-01
  7.333333333333333E-02 -1.539369958539169E+00 -1.593455251176825E+00 -1.842110173356660E-01
  7.416666666666667E-02 -1.526821890583870E+00 -1.580907183221526E+00 -1.842110173356660E-01
  7.500000000000000E-02 -1.514273822628571E+00 -1.562085081288569E+00 -1.842110173356660E-01
  7.583333333333334E-02 -1.501725754673273E+00 -1.543262979355630E+00 -1.842110173356660E-01
  7.666666666666666E-02 -1.482903652740315E+00 -1.530714911400331E+00 -1.842110173356660E-01
  7.750000000000000E-02 -1.470355584785017E+00 -1.511892809467374E+00 -1.842110173356660E-01
  7.833333333333334E-02 -1.451533482852078E+00 -1.493070707534417E+00 -1.842110173356660E-01
  7.916666666666666E-02 -1.438985414896779E+00 -1.480522639579118E+00 -1.842110173356660E-01
  8.000000000000000E-02 -1.420163312963822E+00 -1.461700537646179E+00 -1.842110173356660E-01
  8.083333333333333E-02 -1.407615245008523E+00 -1.442878435713222E+00 -1.842110173356660E-01
  8.166666666666667E-02 -1.388793143075566E+00 -1.430330367757923E+00 -1.842110173356660E-01
  8.250000000000000E-02 -1.376245075120267E+00 -1.411508265824984E+00 -1.842110173356660E-01
  8.333333333333333E-02 -1.357422973187328E+00 -1.392686163892027E+00 -1.842110173356660E-01
  8.416666666666667E-02 -1.344874905232029E+00 -1.373864061959070E+00 -1.842110173356660E-01
  8.500000000000001E-02 -1.326052803299072E+00 -1.361315994003771E+00 -1.842110173356660E-01
