 X0/lambda deviation_0_X deviation_0_Y deviation_0_Z
  8.333333333333334E-04 -1.947182167086423E+00 -2.038911663589975E+00  2.910613790443527E-02
  1.666666666666667E-03 -1.947182167086423E+00 -2.038911663589975E+00  2.910613790443527E-02
  2.500000000000000E-03 -1.940908133108765E+00 -2.038911663589975E+00  2.910613790443527E-02
  3.333333333333334E-03 -1.940908133108765E+00 -2.038911663589975E+00  2.910613790443527E-02
  4.166666666666667E-03 -1.940908133108765E+00 -2.038911663589975E+00  2.910613790443527E-02
  5.000000000000000E-03 -1.940908133108765E+00 -2.032637629612317E+00  2.910613790443527E-02
  5.833333333333334E-03 -1.940908133108765E+00 -2.032637629612317E+00  2.910613790443527E-02
  6.666666666666667E-03 -1.940908133108765E+00 -2.032637629612317E+00  2.910613790443527E-02
  7.500000000000000E-03 -1.934634099131106E+00 -2.032637629612317E+00  2.910613790443527E-02
  8.333333333333333E-03 -1.934634099131106E+00 -2.026363595634677E+00  2.910613790443527E-02
  9.166666666666667E-03 -1.934634099131106E+00 -2.026363595634677E+00  2.910613790443527E-02
  1.000000000000000E-02 -1.928360065153466E+00 -2.020089561657018E+00  2.910613790443527E-02
  1.083333333333333E-02 -1.928360065153466E+00 -2.020089561657018E+00  2.910613790443527E-02
  1.166666666666667E-02 -1.928360065153466E+00 -2.013815527679378E+00  2.910613790443527E-02
  1.250000000000000E-02 -1.922086031175807E+00 -2.013815527679378E+00  2.910613790443527E-02
  1.333333333333333E-02 -1.922086031175807E+00 -2.007541493701719E+00  2.910613790443527E-02
  1.416666666666667E-02 -1.915811997198167E+00 -2.007541493701719E+00  2.910613790443527E-02
  1.500000000000000E-02 -1.915811997198167E+00 -2.001267459724061E+00  2.910613790443527E-02
  1.583333333333333E-02 -1.909537963220509E+00 -1.994993425746421E+00  2.910613790443527E-02
  1.666666666666667E-02 -1.909537963220509E+00 -1.994993425746421E+00  2.910613790443527E-02
  1.750000000000000E-02 -1.903263929242869E+00 -1.988719391768762E+00  2.910613790443527E-02
  1.833333333333333E-02 -1.896989895265210E+00 -1.982445357791122E+00  2.910613790443527E-02
  1.916666666666667E-02 -1.896989895265210E+00 -1.976171323813463E+00  2.910613790443527E-02
  2.000000000000000E-02 -1.890715861287570E+00 -1.969897289835823E+00  2.910613790443527E-02
  2.083333333333333E-02 -1.884441827309911E+00 -1.963623255858165E+00  2.910613790443527E-02
  2.166666666666667E-02 -1.878167793332271E+00 -1.957349221880525E+00  2.910613790443527E-02
  2.250000000000000E-02 -1.878167793332271E+00 -1.951075187902866E+00  2.910613790443527E-02
  2.333333333333333E-02 -1.871893759354612E+00 -1.944801153925226E+00  2.910613790443527E-02
  2.416666666666667E-02 -1.865619725376972E+00 -1.938527119947567E+00  2.910613790443527E-02
  2.500000000000000E-02 -1.859345691399314E+00 -1.932253085969927E+00  2.910613790443527E-02
