 X0/lambda omega_x_OPT omega_y_OPT omega_z_OPT
  8.333333333333334E-04  1.378834949149293E+02  1.585576194550653E+02  3.601038445606858E+01
  1.666666666666667E-03  1.378831472245507E+02  1.585573186998573E+02  3.601038439211585E+01
  2.500000000000000E-03  1.378825677808741E+02  1.585568174764250E+02  3.601038428558471E+01
  3.333333333333334E-03  1.378817566443275E+02  1.585561158376365E+02  3.601038413656030E+01
  4.166666666666667E-03  1.378807138995022E+02  1.585552138575002E+02  3.601038394516168E+01
  5.000000000000000E-03  1.378794396551460E+02  1.585541116311579E+02  3.601038371154178E+01
  5.833333333333334E-03  1.378779340441529E+02  1.585528092748760E+02  3.601038343588731E+01
  6.666666666666667E-03  1.378761972235514E+02  1.585513069260341E+02  3.601038311841859E+01
  7.500000000000000E-03  1.378742293744909E+02  1.585496047431130E+02  3.601038275938942E+01
  8.333333333333333E-03  1.378720307022252E+02  1.585477029056792E+02  3.601038235908683E+01
  9.166666666666667E-03  1.378696014360943E+02  1.585456016143681E+02  3.601038191783100E+01
  1.000000000000000E-02  1.378669418295040E+02  1.585433010908658E+02  3.601038143597488E+01
  1.083333333333333E-02  1.378640521599035E+02  1.585408015778874E+02  3.601038091390403E+01
  1.166666666666667E-02  1.378609327287603E+02  1.585381033391550E+02  3.601038035203634E+01
  1.250000000000000E-02  1.378575838615338E+02  1.585352066593728E+02  3.601037975082163E+01
  1.333333333333333E-02  1.378540059076460E+02  1.585321118442004E+02  3.601037911074149E+01
  1.416666666666667E-02  1.378501992404504E+02  1.585288192202239E+02  3.601037843230873E+01
  1.500000000000000E-02  1.378461642571987E+02  1.585253291349256E+02  3.601037771606720E+01
  1.583333333333333E-02  1.378419013790055E+02  1.585216419566511E+02  3.601037696259124E+01
  1.666666666666667E-02  1.378374110508104E+02  1.585177580745752E+02  3.601037617248539E+01
  1.750000000000000E-02  1.378326937413388E+02  1.585136778986647E+02  3.601037534638387E+01
  1.833333333333333E-02  1.378277499430594E+02  1.585094018596405E+02  3.601037448495013E+01
  1.916666666666667E-02  1.378225801721406E+02  1.585049304089369E+02  3.601037358887640E+01
  2.000000000000000E-02  1.378171849684044E+02  1.585002640186590E+02  3.601037265888323E+01
  2.083333333333333E-02  1.378115648952777E+02  1.584954031815387E+02  3.601037169571882E+01
  2.166666666666667E-02  1.378057205397423E+02  1.584903484108881E+02  3.601037070015865E+01
  2.250000000000000E-02  1.377996525122822E+02  1.584851002405512E+02  3.601036967300484E+01
  2.333333333333333E-02  1.377933614468288E+02  1.584796592248538E+02  3.601036861508557E+01
  2.416666666666667E-02  1.377868480007043E+02  1.584740259385513E+02  3.601036752725447E+01
  2.500000000000000E-02  1.377801128545625E+02  1.584682009767742E+02  3.601036641039006E+01
  2.583333333333333E-02  1.377731567123277E+02  1.584621849549727E+02  3.601036526539509E+01
  2.666666666666667E-02  1.377659803011320E+02  1.584559785088580E+02  3.601036409319589E+01
  2.750000000000000E-02  1.377585843712490E+02  1.584495822943426E+02  3.601036289474171E+01
  2.833333333333333E-02  1.377509696960272E+02  1.584429969874785E+02  3.601036167100402E+01
  2.916666666666667E-02  1.377431370718201E+02  1.584362232843932E+02  3.601036042297584E+01
  3.000000000000000E-02  1.377350873179144E+02  1.584292619012237E+02  3.601035915167102E+01
  3.083333333333333E-02  1.377268212764560E+02  1.584221135740495E+02  3.601035785812353E+01
  3.166666666666667E-02  1.377183398123745E+02  1.584147790588221E+02  3.601035654338668E+01
  3.250000000000000E-02  1.377096438133049E+02  1.584072591312940E+02  3.601035520853242E+01
  3.333333333333333E-02  1.377007341895072E+02  1.583995545869452E+02  3.601035385465055E+01
  3.416666666666666E-02  1.376916118737843E+02  1.583916662409075E+02  3.601035248284795E+01
  3.500000000000000E-02  1.376822778213978E+02  1.583835949278874E+02  3.601035109424779E+01
  3.583333333333334E-02  1.376727330099809E+02  1.583753415020869E+02  3.601034968998872E+01
  3.666666666666667E-02  1.376629784394505E+02  1.583669068371223E+02  3.601034827122410E+01
  3.750000000000000E-02  1.376530151319157E+02  1.583582918259413E+02  3.601034683912118E+01
  3.833333333333333E-02  1.376428441315857E+02  1.583494973807380E+02  3.601034539486020E+01
  3.916666666666667E-02  1.376324665046743E+02  1.583405244328658E+02  3.601034393963366E+01
  4.000000000000000E-02  1.376218833393033E+02  1.583313739327495E+02  3.601034247464546E+01
  4.083333333333333E-02  1.376110957454029E+02  1.583220468497937E+02  3.601034100110991E+01
  4.166666666666666E-02  1.376001048546111E+02  1.583125441722911E+02  3.601033952025116E+01
  4.250000000000000E-02  1.375889118201701E+02  1.583028669073279E+02  3.601033803330206E+01
  4.333333333333333E-02  1.375775178168207E+02  1.582930160806875E+02  3.601033654150346E+01
  4.416666666666667E-02  1.375659240406952E+02  1.582829927367525E+02  3.601033504610329E+01
  4.500000000000000E-02  1.375541317092078E+02  1.582727979384049E+02  3.601033354835568E+01
  4.583333333333333E-02  1.375421420609430E+02  1.582624327669241E+02  3.601033204952013E+01
  4.666666666666667E-02  1.375299563555418E+02  1.582518983218832E+02  3.601033055086059E+01
  4.750000000000000E-02  1.375175758735861E+02  1.582411957210439E+02  3.601032905364467E+01
  4.833333333333333E-02  1.375050019164808E+02  1.582303261002488E+02  3.601032755914255E+01
  4.916666666666666E-02  1.374922358063342E+02  1.582192906133123E+02  3.601032606862641E+01
  5.000000000000000E-02  1.374792788858358E+02  1.582080904319097E+02  3.601032458336930E+01
  5.083333333333333E-02  1.374661325181324E+02  1.581967267454643E+02  3.601032310464438E+01
