 X0/lambda deviation_CS_X deviation_CS_Y deviation_CS_Z
  2.083333333333333E-02  2.264390776643490E-01 -1.315621290844369E-01  1.213523899633861E+01
  2.166666666666667E-02  2.297740522877741E-01 -1.278437643813623E-01  1.212038779521370E+01
  2.250000000000000E-02  2.267225800959562E-01 -1.242231345904607E-01  1.210496404889874E+01
  2.333333333333333E-02  2.298330556233969E-01 -1.206999541535923E-01  1.208896889549388E+01
  2.416666666666667E-02  2.328317834902092E-01 -1.172739270100339E-01  1.207240351623370E+01
  2.500000000000000E-02  2.357191142790681E-01 -1.139447466268837E-01  1.205526913550748E+01
  2.583333333333333E-02  2.384954105223296E-01 -1.107120960301888E-01  1.203756702088029E+01
  2.666666666666667E-02  2.411610466661051E-01 -1.075756478374985E-01  1.201929848311451E+01
  2.750000000000000E-02  2.437164090326495E-01 -1.045350642911967E-01  1.200046487619220E+01
  2.833333333333333E-02  2.461618957818780E-01 -9.531596331547190E-02  1.198106759733790E+01
  2.916666666666667E-02  2.484979168716054E-01 -9.246605446237779E-02  1.196110808704218E+01
  3.000000000000000E-02  2.507248940164503E-01 -8.971093508280760E-02  1.194058782908571E+01
  3.083333333333333E-02  2.528432606458135E-01 -8.077619229687831E-02  1.191950835056397E+01
  3.166666666666667E-02  2.548534618603932E-01 -7.820950496592663E-02  1.189787122191247E+01
  3.250000000000000E-02  2.567559543877169E-01 -7.573643986626291E-02  1.187567805693260E+01
  3.333333333333333E-02  2.585512065363959E-01 -6.708255366298291E-02  1.185293051281793E+01
  3.416666666666666E-02  2.665137321268894E-01 -6.479549488500233E-02  1.182963029018115E+01
  3.500000000000000E-02  2.680959545328822E-01 -5.632676612430197E-02  1.180577913308148E+01
  3.583333333333334E-02  2.695724104977479E-01 -5.422399590125640E-02  1.178137882905249E+01
  3.666666666666667E-02  2.709436141738149E-01 -4.593866688838826E-02  1.175643120913058E+01
  3.750000000000000E-02  2.784841250258783E-01 -3.774435380005789E-02  1.173093814788380E+01
  3.833333333333333E-02  2.796464118679653E-01 -3.591462150662289E-02  1.170490156344111E+01
  3.916666666666667E-02  2.807050566753510E-01 -2.790092314959822E-02  1.167832341752215E+01
  4.000000000000000E-02  2.879346525964427E-01 -1.997680405668877E-02  1.164493168148974E+01
  4.083333333333333E-02  2.887877019638689E-01 -1.841579985906164E-02  1.161727647229092E+01
  4.166666666666666E-02  2.958128540804291E-01 -1.066933460958188E-02  1.158908584862212E+01
  4.250000000000000E-02  2.964626333396104E-01 -3.010924700865139E-03  1.156036194687077E+01
  4.333333333333333E-02  3.032857109871587E-01  4.559956992088578E-03  1.153110694716946E+01
  4.416666666666667E-02  3.037346332390005E-01  1.204384708000464E-02  1.150132307342762E+01
  4.500000000000000E-02  3.103580930407209E-01  1.316725762660972E-02  1.147101259336385E+01
  4.583333333333333E-02  3.168826921609580E-01  2.047881200288534E-02  1.144017781853814E+01
  4.666666666666667E-02  3.170350430602341E-01  2.770504096404973E-02  1.140882110438471E+01
  4.750000000000000E-02  3.233638707587686E-01  3.484651850205113E-02  1.137694485024468E+01
  4.833333333333333E-02  3.295958089041218E-01  4.190382780869353E-02  1.134455149939919E+01
  4.916666666666666E-02  3.294575016367469E-01  4.887756121560564E-02  1.131164353910253E+01
  5.000000000000000E-02  3.354977054544673E-01  5.576832013304274E-02  1.127822350061543E+01
  5.083333333333333E-02  3.414430852769342E-01  6.885074896564289E-02  1.124429395923838E+01
  5.166666666666667E-02  3.472943502854831E-01  7.557739913876010E-02  1.120985753434517E+01
  5.250000000000000E-02  3.530522198736606E-01  8.222293290029023E-02  1.117491688941621E+01
